,area,begin-area,country,disambiguation,end-area,gender,id,ipi,ipi-list,isni-list,life-span,name,sort-name,type
15,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'San Francisco', 'id': '83f22bb6-4631-443c-bace-9fae8540362a', 'name': 'San Francisco'}",US,,,Male,ff9deaae-da4f-42b7-a19e-36fedd3fc706,00339245748,['00339245748'],['000000005521391X'],{'begin': '1981-06-16'},Ben Kweller,"Kweller, Ben",Person
16,"{'sort-name': 'Austria', 'id': 'caac77d1-a5c8-3e6e-8e27-90b44dcc1446', 'name': 'Austria', 'iso-3166-1-code-list': ['AT']}","{'sort-name': 'Wien', 'iso-3166-2-code-list': ['AT-9'], 'id': 'afff1a94-a98b-4322-8874-3148139ab6da', 'name': 'Wien'}",AT,"downtempo electro, Richard Dorfmeister & Rupert Huber",,,3231d12a-c42d-4977-b2a4-a6e4d87978e1,,,['0000000111355366'],{'begin': '1994'},Tosca,Tosca,Group
17,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Newburgh', 'id': '86c35e4b-d491-4414-90e3-d5faa367db16', 'name': 'Newburgh'}",US,,,Male,756cf672-d4ae-4470-a3af-a43d776a211d,,,['0000000055187280'],{'begin': '1972-02-29'},Saul Williams,"Williams, Saul",Person
18,"{'sort-name': 'Ireland', 'id': '390b05d4-11ec-3bce-a343-703a366b34a5', 'name': 'Ireland', 'iso-3166-1-code-list': ['IE']}","{'sort-name': 'Dublin', 'id': '462e7952-4fa9-43cd-bc24-2c5c9cd5dd47', 'name': 'Dublin'}",IE,,,,8ca01f46-53ac-4af2-8516-55a909c0905e,,,['0000000121744541'],{'begin': '1983'},My Bloody Valentine,My Bloody Valentine,Group
19,"{'sort-name': '[Worldwide]', 'id': '525d4e18-3d00-31b9-a58b-a146a916de8f', 'name': '[Worldwide]', 'iso-3166-1-code-list': ['XW']}",,XW,"Special Purpose Artist - Do not add releases here, if possible.",,,a0ef7e1d-44ff-4039-9435-7d5fefdeecc9,,,,,[theatre],[theatre],Other
20,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Gainesville', 'id': 'dbe53871-db21-47ea-a0c3-3ab58317a3ab', 'name': 'Gainesville'}",US,,,,c83907ee-8b5a-4547-8f68-96572243ea7f,,,,{'begin': '1993'},Hot Water Music,Hot Water Music,Group
21,"{'sort-name': 'Devon', 'iso-3166-2-code-list': ['GB-DEV'], 'id': '2021b983-80b8-4f6b-a2a9-7d33c23e15b6', 'name': 'Devon'}","{'sort-name': 'Dover', 'id': '45fdbfe0-4947-4aed-bf84-21509efdc8ba', 'name': 'Dover'}",,,,Female,dbbc47a5-1338-4830-9298-a8d0b11c0a46,00454861730,['00454861730'],['0000000079834673'],{'begin': '1987-04-11'},Joss Stone,"Stone, Joss",Person
22,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Little Rock', 'id': '9150ffc9-be86-42ff-96b6-a4fee1ce2b52', 'name': 'Little Rock'}",US,,,,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,,,,{'begin': '1995'},Evanescence,Evanescence,Group
23,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}",,US,,,Male,a9965383-6bdd-49a3-a4bb-4f8008b9d80e,,,,{'begin': '1971-07-28'},Stephen Lynch,"Lynch, Stephen",Person
24,"{'sort-name': 'Canada', 'id': '71bbafaa-e825-3e15-8ca9-017dcad1748b', 'name': 'Canada', 'iso-3166-1-code-list': ['CA']}","{'sort-name': 'Morden', 'id': 'c5b4c9a8-4931-4d28-95a2-a870c1f024c7', 'name': 'Morden'}",CA,,,Female,c1e5344e-1bff-4727-9417-a4f55e41b5ff,00036032124,['00036032124'],['0000000073636799'],{'begin': '1957-02-17'},Loreena McKennitt,"McKennitt, Loreena",Person
